"Timestamp","How experienced are you in programming? (Optional)","How much did you enjoy using the following technologies? [Spring JDBC]","How much did you enjoy using the following technologies? [Hibernate]","How much did you enjoy using the following technologies? [MyBatis]","If you haven’t used any of the technologies listed above, what technology do you use or have used instead?(Optional)","Spring JDBC: [Readability]","Spring JDBC: [Ease of Maintenance]","Spring JDBC: [Learning Curve]","Spring JDBC: [Robustness]","Spring JDBC: [Performance (Expected)]","Spring JDBC: [Customizability]","Hibernate: [Readability]","Hibernate: [Ease of Maintenance]","Hibernate: [Learning Curve]","Hibernate: [Robustness]","Hibernate: [Performance (Expected)]","Hibernate: [Customizability]","Hibernate: [Readability]","Hibernate: [Ease of Maintenance]","Hibernate: [Learning Curve]","Hibernate: [Robustness]","Hibernate: [Performance (Expected)]","Hibernate: [Customizability]","Mybatis: [Readability]","Mybatis: [Ease of Maintenance]","Mybatis: [Learning Curve]","Mybatis: [Robustness]","Mybatis: [Performance (Expected)]","Mybatis: [Customizability]","Spring JDBC: [Readability]","Spring JDBC: [Ease of Maintenance]","Spring JDBC: [Learning Curve]","Spring JDBC: [Robustness]","Spring JDBC: [Performance (Expected)]","Spring JDBC: [Customizability]","Mybatis: [Readability]","Mybatis: [Ease of Maintenance]","Mybatis: [Learning Curve]","Mybatis: [Robustness]","Mybatis: [Performance (Expected)]","Mybatis: [Customizability]","Hibernate: [Readability]","Hibernate: [Ease of Maintenance]","Hibernate: [Learning Curve]","Hibernate: [Robustness]","Hibernate: [Performance (Expected)]","Hibernate: [Customizability]","Mybatis: [Readability]","Mybatis: [Ease of Maintenance]","Mybatis: [Learning Curve]","Mybatis: [Robustness]","Mybatis: [Performance (Expected)]","Mybatis: [Customizability]","Spring JDBC: [Readability]","Spring JDBC: [Ease of Maintenance]","Spring JDBC: [Learning Curve]","Spring JDBC: [Robustness]","Spring JDBC: [Performance (Expected)]","Spring JDBC: [Customizability]"
"2025/08/01 5:58:30 pm EEST","Student","3 - Average","3 - Average","Never Used","None","2 - Poor","3 - Average","3 - Average","2 - Poor","4 - Good","5 - Excellent","4 - Good","4 - Good","3 - Average","4 - Good","4 - Good","3 - Average","2 - Poor","2 - Poor","3 - Average","3 - Average","4 - Good","5 - Excellent","2 - Poor","1 - Very poor","3 - Average","3 - Average","4 - Good","4 - Good","2 - Poor","3 - Average","3 - Average","3 - Average","4 - Good","5 - Excellent","4 - Good","3 - Average","3 - Average","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","3 - Average","4 - Good","4 - Good","4 - Good","3 - Average","2 - Poor","3 - Average","3 - Average","4 - Good","4 - Good","3 - Average","4 - Good","3 - Average","3 - Average","4 - Good","5 - Excellent"
"2025/08/01 7:51:43 pm EEST","Student","3 - Average","5 - Excellent","4 - Good","","3 - Average","2 - Poor","3 - Average","4 - Good","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","4 - Good","4 - Good","3 - Average","3 - Average","3 - Average","2 - Poor","4 - Good","5 - Excellent","4 - Good","4 - Good","3 - Average","4 - Good","4 - Good","5 - Excellent","4 - Good","3 - Average","3 - Average","3 - Average","4 - Good","5 - Excellent","4 - Good","4 - Good","3 - Average","3 - Average","3 - Average","4 - Good","4 - Good","5 - Excellent","5 - Excellent","5 - Excellent","4 - Good","4 - Good","3 - Average","4 - Good","4 - Good","3 - Average","5 - Excellent","5 - Excellent","4 - Good","4 - Good","5 - Excellent","4 - Good","5 - Excellent","5 - Excellent","5 - Excellent"
"2025/08/03 8:24:10 pm EEST","Student","Never Used","Never Used","Never Used","","5 - Excellent","4 - Good","4 - Good","3 - Average","4 - Good","3 - Average","3 - Average","3 - Average","2 - Poor","2 - Poor","3 - Average","3 - Average","4 - Good","5 - Excellent","4 - Good","3 - Average","4 - Good","3 - Average","4 - Good","4 - Good","4 - Good","3 - Average","4 - Good","4 - Good","3 - Average","4 - Good","4 - Good","2 - Poor","3 - Average","3 - Average","2 - Poor","3 - Average","3 - Average","2 - Poor","2 - Poor","2 - Poor","3 - Average","4 - Good","4 - Good","3 - Average","4 - Good","2 - Poor","4 - Good","3 - Average","4 - Good","3 - Average","4 - Good","4 - Good","5 - Excellent","4 - Good","5 - Excellent","3 - Average","4 - Good","4 - Good"
"2025/08/03 8:37:51 pm EEST","Junior","4 - Good","3 - Average","3 - Average","","4 - Good","4 - Good","4 - Good","2 - Poor","3 - Average","4 - Good","3 - Average","4 - Good","3 - Average","3 - Average","5 - Excellent","3 - Average","2 - Poor","3 - Average","2 - Poor","3 - Average","4 - Good","4 - Good","4 - Good","4 - Good","5 - Excellent","3 - Average","4 - Good","4 - Good","3 - Average","3 - Average","3 - Average","3 - Average","4 - Good","4 - Good","2 - Poor","3 - Average","2 - Poor","3 - Average","3 - Average","4 - Good","4 - Good","4 - Good","4 - Good","2 - Poor","4 - Good","4 - Good","4 - Good","3 - Average","4 - Good","3 - Average","4 - Good","4 - Good","4 - Good","5 - Excellent","4 - Good","3 - Average","4 - Good","4 - Good"
"2025/08/03 8:40:44 pm EEST","Junior","Never Used","Never Used","Never Used","ODBC and Prisma","2 - Poor","2 - Poor","2 - Poor","2 - Poor","4 - Good","4 - Good","5 - Excellent","4 - Good","4 - Good","4 - Good","3 - Average","3 - Average","3 - Average","3 - Average","3 - Average","3 - Average","4 - Good","3 - Average","1 - Very poor","1 - Very poor","1 - Very poor","1 - Very poor","4 - Good","4 - Good","2 - Poor","3 - Average","3 - Average","2 - Poor","3 - Average","4 - Good","4 - Good","3 - Average","3 - Average","4 - Good","3 - Average","3 - Average","5 - Excellent","4 - Good","4 - Good","4 - Good","3 - Average","4 - Good","3 - Average","3 - Average","2 - Poor","3 - Average","3 - Average","3 - Average","3 - Average","3 - Average","3 - Average","4 - Good","3 - Average","3 - Average"
"2025/08/03 9:07:50 pm EEST","Student","3 - Average","Never Used","Never Used","","4 - Good","5 - Excellent","3 - Average","4 - Good","4 - Good","4 - Good","4 - Good","3 - Average","3 - Average","3 - Average","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","3 - Average","3 - Average","3 - Average","3 - Average","3 - Average","4 - Good","2 - Poor","2 - Poor","2 - Poor","2 - Poor","3 - Average","3 - Average","2 - Poor","2 - Poor","2 - Poor","2 - Poor","3 - Average","3 - Average","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good"
"2025/08/03 10:57:01 pm EEST","Junior","3 - Average","3 - Average","5 - Excellent","","3 - Average","4 - Good","4 - Good","3 - Average","3 - Average","3 - Average","2 - Poor","3 - Average","3 - Average","2 - Poor","3 - Average","2 - Poor","4 - Good","4 - Good","3 - Average","5 - Excellent","4 - Good","5 - Excellent","3 - Average","4 - Good","4 - Good","5 - Excellent","4 - Good","5 - Excellent","3 - Average","4 - Good","4 - Good","4 - Good","3 - Average","4 - Good","2 - Poor","2 - Poor","2 - Poor","3 - Average","3 - Average","3 - Average","3 - Average","3 - Average","2 - Poor","2 - Poor","3 - Average","2 - Poor","5 - Excellent","5 - Excellent","3 - Average","5 - Excellent","5 - Excellent","5 - Excellent","4 - Good","4 - Good","2 - Poor","4 - Good","4 - Good","5 - Excellent"
"2025/08/06 4:53:26 am EEST","Senior","4 - Good","3 - Average","5 - Excellent","","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","4 - Good","3 - Average","4 - Good","3 - Average","3 - Average","4 - Good","5 - Excellent","4 - Good","5 - Excellent","5 - Excellent","5 - Excellent","4 - Good","5 - Excellent","4 - Good","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","4 - Good","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","3 - Average","3 - Average","3 - Average","3 - Average","3 - Average","3 - Average","5 - Excellent","5 - Excellent","4 - Good","4 - Good","3 - Average","4 - Good","4 - Good","5 - Excellent","4 - Good","4 - Good","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent"
"2025/08/07 12:46:11 pm EEST","Junior","4 - Good","4 - Good","Never Used","","5 - Excellent","4 - Good","4 - Good","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","4 - Good","3 - Average","3 - Average","3 - Average","3 - Average","4 - Good","3 - Average","3 - Average","3 - Average","3 - Average","3 - Average","3 - Average","3 - Average","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","3 - Average","3 - Average","3 - Average","3 - Average","5 - Excellent","3 - Average","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent","5 - Excellent"
"2025/08/17 9:16:06 pm EEST","Senior","Never Used","Never Used","Never Used","MySql and Oracle","1 - Very poor","1 - Very poor","3 - Average","2 - Poor","2 - Poor","2 - Poor","4 - Good","4 - Good","3 - Average","3 - Average","3 - Average","2 - Poor","2 - Poor","2 - Poor","2 - Poor","3 - Average","3 - Average","3 - Average","1 - Very poor","1 - Very poor","2 - Poor","2 - Poor","3 - Average","1 - Very poor","3 - Average","3 - Average","3 - Average","2 - Poor","2 - Poor","3 - Average","1 - Very poor","1 - Very poor","1 - Very poor","2 - Poor","2 - Poor","2 - Poor","4 - Good","4 - Good","3 - Average","3 - Average","3 - Average","4 - Good","2 - Poor","3 - Average","3 - Average","2 - Poor","3 - Average","3 - Average","2 - Poor","2 - Poor","3 - Average","2 - Poor","3 - Average","3 - Average"
