profile,uri,method,duration
[hibernate],/api/radnik-prebivaliste,POST,495423900
[hibernate],/api/radnik-prebivaliste,POST,123481900
[hibernate],/api/radnik-prebivaliste,POST,96205200
[hibernate],/api/radnik-prebivaliste,POST,89466600
[hibernate],/api/radnik-prebivaliste,POST,82675800
[hibernate],/api/radnik-prebivaliste,POST,77410200
[hibernate],/api/radnik-prebivaliste,POST,102757400
[hibernate],/api/radnik-prebivaliste,POST,81316000
[hibernate],/api/radnik-prebivaliste,POST,74563900
[hibernate],/api/radnik-prebivaliste,POST,84222100
[hibernate],/api/radnik-prebivaliste,POST,82323200
[hibernate],/api/radnik-prebivaliste,POST,71711700
[hibernate],/api/radnik-prebivaliste,POST,62500900
[hibernate],/api/radnik-prebivaliste,POST,67422600
[hibernate],/api/radnik-prebivaliste,POST,61803800
[hibernate],/api/radnik-prebivaliste,POST,68801700
[hibernate],/api/radnik-prebivaliste,POST,61566200
[hibernate],/api/radnik-prebivaliste,POST,67299900
[hibernate],/api/radnik-prebivaliste,POST,60541700
[hibernate],/api/radnik-prebivaliste,POST,63314200
[hibernate],/api/radnik-prebivaliste,POST,58743200
[hibernate],/api/radnik-prebivaliste,POST,81837000
[hibernate],/api/radnik-prebivaliste,POST,61479000
[hibernate],/api/radnik-prebivaliste,POST,74197000
[hibernate],/api/radnik-prebivaliste,POST,69022800
[hibernate],/api/radnik-prebivaliste,POST,63265400
[hibernate],/api/radnik-prebivaliste,POST,57822400
[hibernate],/api/radnik-prebivaliste,POST,61206300
[hibernate],/api/radnik-prebivaliste,POST,56775400
[hibernate],/api/radnik-prebivaliste,POST,66541100
[hibernate],/api/radnik-prebivaliste,POST,65045100
[hibernate],/api/radnik-prebivaliste,POST,72941800
[hibernate],/api/radnik-prebivaliste,POST,64400300
[hibernate],/api/radnik-prebivaliste,POST,69515700
[hibernate],/api/radnik-prebivaliste,POST,58874000
[hibernate],/api/radnik-prebivaliste,POST,96247200
[hibernate],/api/radnik-prebivaliste,POST,61199700
[hibernate],/api/radnik-prebivaliste,POST,61472400
[hibernate],/api/radnik-prebivaliste,POST,56403000
[hibernate],/api/radnik-prebivaliste,POST,61914200
[hibernate],/api/radnik-prebivaliste,POST,54729200
[hibernate],/api/radnik-prebivaliste,POST,59131900
[hibernate],/api/radnik-prebivaliste,POST,75782500
[hibernate],/api/radnik-prebivaliste,POST,72945000
[hibernate],/api/radnik-prebivaliste,POST,56068400
[hibernate],/api/radnik-prebivaliste,POST,82406300
[hibernate],/api/radnik-prebivaliste,POST,55436000
[hibernate],/api/radnik-prebivaliste,POST,60591700
[hibernate],/api/radnik-prebivaliste,POST,59076400
[hibernate],/api/radnik-prebivaliste,POST,75735000
[hibernate],/api/radnik-prebivaliste,POST,54228300
[hibernate],/api/radnik-prebivaliste,POST,63524800
[hibernate],/api/radnik-prebivaliste,POST,55327800
[hibernate],/api/radnik-prebivaliste,POST,68189600
[hibernate],/api/radnik-prebivaliste,POST,60110900
[hibernate],/api/radnik-prebivaliste,POST,67975100
[hibernate],/api/radnik-prebivaliste,POST,57079600
[hibernate],/api/radnik-prebivaliste,POST,70050800
[hibernate],/api/radnik-prebivaliste,POST,62533900
[hibernate],/api/radnik-prebivaliste,POST,71386200
[hibernate],/api/radnik-prebivaliste,POST,54851400
[hibernate],/api/radnik-prebivaliste,POST,64675000
[hibernate],/api/radnik-prebivaliste,POST,56713300
[hibernate],/api/radnik-prebivaliste,POST,59780500
[hibernate],/api/radnik-prebivaliste,POST,55548100
[hibernate],/api/radnik-prebivaliste,POST,64080100
[hibernate],/api/radnik-prebivaliste,POST,58815100
[hibernate],/api/radnik-prebivaliste,POST,64428400
[hibernate],/api/radnik-prebivaliste,POST,65225500
[hibernate],/api/radnik-prebivaliste,POST,78009900
[hibernate],/api/radnik-prebivaliste,POST,63513200
[hibernate],/api/radnik-prebivaliste,POST,65512300
[hibernate],/api/radnik-prebivaliste,POST,60827500
[hibernate],/api/radnik-prebivaliste,POST,66028600
[hibernate],/api/radnik-prebivaliste,POST,65450900
[hibernate],/api/radnik-prebivaliste,POST,64183400
[hibernate],/api/radnik-prebivaliste,POST,59372800
[hibernate],/api/radnik-prebivaliste,POST,67480100
[hibernate],/api/radnik-prebivaliste,POST,60115300
[hibernate],/api/radnik-prebivaliste,POST,72145600
[hibernate],/api/radnik-prebivaliste,POST,57893700
[hibernate],/api/radnik-prebivaliste,POST,61548900
[hibernate],/api/radnik-prebivaliste,POST,57084900
[hibernate],/api/radnik-prebivaliste,POST,80531600
[hibernate],/api/radnik-prebivaliste,POST,54100600
[hibernate],/api/radnik-prebivaliste,POST,62590300
[hibernate],/api/radnik-prebivaliste,POST,58144700
[hibernate],/api/radnik-prebivaliste,POST,61727200
[hibernate],/api/radnik-prebivaliste,POST,51780600
[hibernate],/api/radnik-prebivaliste,POST,69475000
[hibernate],/api/radnik-prebivaliste,POST,61661600
[hibernate],/api/radnik-prebivaliste,POST,63101200
[hibernate],/api/radnik-prebivaliste,POST,55651300
