profile,uri,method,duration
[mybatis],/api/ugovor-rad,POST,122578700
[mybatis],/api/ugovor-rad,DELETE,9851600
[mybatis],/api/ugovor-rad,POST,6294100
[mybatis],/api/ugovor-rad,DELETE,4400500
[mybatis],/api/ugovor-rad,POST,4179400
[mybatis],/api/ugovor-rad,DELETE,2267500
[mybatis],/api/ugovor-rad,POST,3690700
[mybatis],/api/ugovor-rad,DELETE,4080800
[mybatis],/api/ugovor-rad,POST,6947600
[mybatis],/api/ugovor-rad,DELETE,4071300
[mybatis],/api/ugovor-rad,POST,6475000
[mybatis],/api/ugovor-rad,DELETE,5543600
[mybatis],/api/ugovor-rad,POST,3574800
[mybatis],/api/ugovor-rad,DELETE,2626700
[mybatis],/api/ugovor-rad,POST,5636200
[mybatis],/api/ugovor-rad,DELETE,4282300
[mybatis],/api/ugovor-rad,POST,6185100
[mybatis],/api/ugovor-rad,DELETE,4077400
[mybatis],/api/ugovor-rad,POST,5773900
[mybatis],/api/ugovor-rad,DELETE,5305900
[mybatis],/api/ugovor-rad,POST,4393900
[mybatis],/api/ugovor-rad,DELETE,1712500
[mybatis],/api/ugovor-rad,POST,6133500
[mybatis],/api/ugovor-rad,DELETE,3727100
[mybatis],/api/ugovor-rad,POST,6310200
[mybatis],/api/ugovor-rad,DELETE,1651600
[mybatis],/api/ugovor-rad,POST,5487500
[mybatis],/api/ugovor-rad,DELETE,3498800
[mybatis],/api/ugovor-rad,POST,3761700
[mybatis],/api/ugovor-rad,DELETE,1914500
[mybatis],/api/ugovor-rad,POST,6155400
[mybatis],/api/ugovor-rad,DELETE,3710500
[mybatis],/api/ugovor-rad,POST,5536400
[mybatis],/api/ugovor-rad,DELETE,3701600
[mybatis],/api/ugovor-rad,POST,5330800
[mybatis],/api/ugovor-rad,DELETE,3704600
[mybatis],/api/ugovor-rad,POST,6820000
[mybatis],/api/ugovor-rad,DELETE,1656900
[mybatis],/api/ugovor-rad,POST,5603900
[mybatis],/api/ugovor-rad,DELETE,3626800
[mybatis],/api/ugovor-rad,POST,5492100
[mybatis],/api/ugovor-rad,DELETE,1748200
[mybatis],/api/ugovor-rad,POST,5371600
[mybatis],/api/ugovor-rad,DELETE,3710800
[mybatis],/api/ugovor-rad,POST,3204100
[mybatis],/api/ugovor-rad,DELETE,1472800
[mybatis],/api/ugovor-rad,POST,3160500
[mybatis],/api/ugovor-rad,DELETE,3750600
[mybatis],/api/ugovor-rad,POST,3290000
[mybatis],/api/ugovor-rad,DELETE,3602100
[mybatis],/api/ugovor-rad,POST,5652800
[mybatis],/api/ugovor-rad,DELETE,4047700
[mybatis],/api/ugovor-rad,POST,7724400
[mybatis],/api/ugovor-rad,DELETE,1563900
[mybatis],/api/ugovor-rad,POST,3890500
[mybatis],/api/ugovor-rad,DELETE,3682400
[mybatis],/api/ugovor-rad,POST,3737200
[mybatis],/api/ugovor-rad,DELETE,3764900
[mybatis],/api/ugovor-rad,POST,5622500
[mybatis],/api/ugovor-rad,DELETE,1622400
[mybatis],/api/ugovor-rad,POST,5853800
[mybatis],/api/ugovor-rad,DELETE,3600400
[mybatis],/api/ugovor-rad,POST,5481800
[mybatis],/api/ugovor-rad,DELETE,3999200
[mybatis],/api/ugovor-rad,POST,4075200
[mybatis],/api/ugovor-rad,DELETE,4050000
[mybatis],/api/ugovor-rad,POST,5139600
[mybatis],/api/ugovor-rad,DELETE,3784200
[mybatis],/api/ugovor-rad,POST,5753700
[mybatis],/api/ugovor-rad,DELETE,3869000
[mybatis],/api/ugovor-rad,POST,3381600
[mybatis],/api/ugovor-rad,DELETE,3691800
[mybatis],/api/ugovor-rad,POST,4293500
[mybatis],/api/ugovor-rad,DELETE,3944100
[mybatis],/api/ugovor-rad,POST,3267500
[mybatis],/api/ugovor-rad,DELETE,3680000
[mybatis],/api/ugovor-rad,POST,6489600
[mybatis],/api/ugovor-rad,DELETE,3587400
[mybatis],/api/ugovor-rad,POST,5278500
[mybatis],/api/ugovor-rad,DELETE,3614400
[mybatis],/api/ugovor-rad,POST,3590600
[mybatis],/api/ugovor-rad,DELETE,3725300
[mybatis],/api/ugovor-rad,POST,5146500
[mybatis],/api/ugovor-rad,DELETE,3547200
[mybatis],/api/ugovor-rad,POST,3672100
[mybatis],/api/ugovor-rad,DELETE,1578500
[mybatis],/api/ugovor-rad,POST,5131000
[mybatis],/api/ugovor-rad,DELETE,3501900
[mybatis],/api/ugovor-rad,POST,2891500
[mybatis],/api/ugovor-rad,DELETE,3541000
[mybatis],/api/ugovor-rad,POST,5023900
[mybatis],/api/ugovor-rad,DELETE,3797300
[mybatis],/api/ugovor-rad,POST,5213600
[mybatis],/api/ugovor-rad,DELETE,3558600
[mybatis],/api/ugovor-rad,POST,3475800
[mybatis],/api/ugovor-rad,DELETE,3971300
[mybatis],/api/ugovor-rad,POST,3871000
[mybatis],/api/ugovor-rad,DELETE,4868100
[mybatis],/api/ugovor-rad,POST,6732000
[mybatis],/api/ugovor-rad,DELETE,1625700
[mybatis],/api/ugovor-rad,POST,3267900
[mybatis],/api/ugovor-rad,DELETE,3698800
[mybatis],/api/ugovor-rad,POST,5345100
[mybatis],/api/ugovor-rad,DELETE,1468600
[mybatis],/api/ugovor-rad,POST,2877600
[mybatis],/api/ugovor-rad,DELETE,1296000
[mybatis],/api/ugovor-rad,POST,4948500
[mybatis],/api/ugovor-rad,DELETE,1447100
[mybatis],/api/ugovor-rad,POST,5029800
[mybatis],/api/ugovor-rad,DELETE,3622800
[mybatis],/api/ugovor-rad,POST,5228400
[mybatis],/api/ugovor-rad,DELETE,3473600
[mybatis],/api/ugovor-rad,POST,5320600
[mybatis],/api/ugovor-rad,DELETE,3732300
[mybatis],/api/ugovor-rad,POST,4865100
[mybatis],/api/ugovor-rad,DELETE,1635700
[mybatis],/api/ugovor-rad,POST,2911600
[mybatis],/api/ugovor-rad,DELETE,4252800
[mybatis],/api/ugovor-rad,POST,3132100
[mybatis],/api/ugovor-rad,DELETE,3942900
[mybatis],/api/ugovor-rad,POST,5259300
[mybatis],/api/ugovor-rad,DELETE,3616300
[mybatis],/api/ugovor-rad,POST,5356700
[mybatis],/api/ugovor-rad,DELETE,1523500
[mybatis],/api/ugovor-rad,POST,5274600
[mybatis],/api/ugovor-rad,DELETE,3700400
[mybatis],/api/ugovor-rad,POST,5847300
[mybatis],/api/ugovor-rad,DELETE,4247200
[mybatis],/api/ugovor-rad,POST,5306500
[mybatis],/api/ugovor-rad,DELETE,3563900
[mybatis],/api/ugovor-rad,POST,6380700
[mybatis],/api/ugovor-rad,DELETE,1366000
[mybatis],/api/ugovor-rad,POST,3102500
[mybatis],/api/ugovor-rad,DELETE,3529500
[mybatis],/api/ugovor-rad,POST,2734900
[mybatis],/api/ugovor-rad,DELETE,3788400
[mybatis],/api/ugovor-rad,POST,3251000
[mybatis],/api/ugovor-rad,DELETE,5623800
[mybatis],/api/ugovor-rad,POST,6156200
[mybatis],/api/ugovor-rad,DELETE,1453100
[mybatis],/api/ugovor-rad,POST,2763500
[mybatis],/api/ugovor-rad,DELETE,3739800
[mybatis],/api/ugovor-rad,POST,5091500
[mybatis],/api/ugovor-rad,DELETE,3661100
[mybatis],/api/ugovor-rad,POST,3340200
[mybatis],/api/ugovor-rad,DELETE,3878800
[mybatis],/api/ugovor-rad,POST,4998900
[mybatis],/api/ugovor-rad,DELETE,1740900
[mybatis],/api/ugovor-rad,POST,4780900
[mybatis],/api/ugovor-rad,DELETE,3620700
[mybatis],/api/ugovor-rad,POST,2951300
[mybatis],/api/ugovor-rad,DELETE,3868300
[mybatis],/api/ugovor-rad,POST,5169200
[mybatis],/api/ugovor-rad,DELETE,1353200
[mybatis],/api/ugovor-rad,POST,4829800
[mybatis],/api/ugovor-rad,DELETE,1442100
[mybatis],/api/ugovor-rad,POST,4865800
[mybatis],/api/ugovor-rad,DELETE,3469000
[mybatis],/api/ugovor-rad,POST,2991500
[mybatis],/api/ugovor-rad,DELETE,1516000
[mybatis],/api/ugovor-rad,POST,5202800
[mybatis],/api/ugovor-rad,DELETE,3901800
[mybatis],/api/ugovor-rad,POST,5055000
[mybatis],/api/ugovor-rad,DELETE,3894200
[mybatis],/api/ugovor-rad,POST,5039500
[mybatis],/api/ugovor-rad,DELETE,3481100
[mybatis],/api/ugovor-rad,POST,2727300
[mybatis],/api/ugovor-rad,DELETE,3690100
[mybatis],/api/ugovor-rad,POST,4922200
[mybatis],/api/ugovor-rad,DELETE,3646500
[mybatis],/api/ugovor-rad,POST,5235800
[mybatis],/api/ugovor-rad,DELETE,3493200
[mybatis],/api/ugovor-rad,POST,5254100
[mybatis],/api/ugovor-rad,DELETE,3650100
[mybatis],/api/ugovor-rad,POST,2920700
[mybatis],/api/ugovor-rad,DELETE,3502300
